BUSSTOP_NM	BUS_STOP_ID	GPS_LATI	GPS_LONG
대덕중학교	43110	36.38	127.378
국립중앙과학관입구	43210	36.3772	127.379
국립중앙과학관	42930	36.374	127.378
보건환경연구원	42910	36.3722	127.374
대전지방기상청	42890	36.3699	127.371
카이스트	42830	36.3651	127.363
한빛아파트	42780	36.3626	127.359
유성구청	42760	36.3614	127.356
구암동	80550	36.3534	127.333
원불교유성교당	80480	36.3507	127.332
유성생명과학고	80470	36.3484	127.332
대전예술고등학교	46630	36.3483	127.334
유성중학교	41500	36.3462	127.336
한라비발디아파트	82570	36.3431	127.333
목련아파트	82240	36.3466	127.331
원불교유성교당	82260	36.3507	127.332
구암동	82270	36.3534	127.333
유성구청	42770	36.3617	127.357
카이스트	42840	36.3658	127.365
대전지방기상청	42900	36.3699	127.371
금강유역환경청	42920	36.3723	127.375
신세계백화점	43220	36.3773	127.379
대덕중학교	43170	36.3802	127.379
공동관리아파트	43180	36.3822	127.379
삼양사중앙연구소	43510	36.3958	127.374
한국천문연구원	46010	36.3998	127.374
에이팩	46270	36.4047	127.377
화암네거리	43520	36.4103	127.377
전자디자인고	43560	36.4132	127.378
북대전IC네거리	43550	36.4175	127.378
테크노밸리1단지	82280	36.4209	127.381
테크노밸리7단지	82290	36.4252	127.385
한솔아파트	44750	36.4327	127.384
휴먼시아아파트	44770	36.438	127.385
송강중학교	45590	36.438	127.382
구즉초등학교	82540	36.4398	127.382
구즉동주민센터	82520	36.4403	127.384
대광로제비앙아파트	46780	36.4425	127.385
협진운수	44500	36.4449	127.384
수통골기점지	41650	36.3461	127.295
수통골삼거리	41670	36.3481	127.296
한밭대학교	41690	36.3507	127.298
삼성화재연수원	41730	36.3543	127.301
하우스토리/신협연수원	41740	36.3584	127.304
덕명네거리	41400	36.3603	127.306
주유소	41420	36.3591	127.31
구암8통	41440	36.3591	127.315
현충원역	41460	36.3593	127.322
천양원	41490	36.3594	127.325
유성시장	42040	36.3572	127.335
유성온천역3번출구	41300	36.3533	127.341
휴먼시아4단지	45490	36.3463	127.34
트리풀시티9단지	45880	36.3416	127.338
상대네거리	46690	36.3394	127.336
도안고등학교	45510	36.3377	127.338
흥도초등학교	41800	36.3338	127.338
법원등기국	46120	36.3324	127.335
용계동	41760	36.3315	127.33
용계동접수마을	40410	36.3293	127.331
용계2통	40390	36.3269	127.33
