iter	Passed	Remaining
742	4282	1481
743	4287	1475
744	4292	1469
745	4297	1463
746	4302	1457
747	4307	1451
748	4313	1445
749	4319	1439
750	4325	1434
751	4330	1428
752	4336	1422
753	4341	1416
754	4346	1410
755	4351	1404
756	4357	1398
757	4362	1392
758	4367	1386
759	4372	1380
760	4377	1374
761	4381	1368
762	4387	1362
763	4392	1356
764	4397	1350
765	4402	1344
766	4407	1338
767	4412	1333
768	4418	1327
769	4423	1321
770	4428	1315
771	4434	1309
772	4439	1303
773	4445	1297
774	4450	1292
775	4455	1286
776	4460	1280
777	4465	1274
778	4470	1268
779	4476	1262
780	4481	1256
781	4487	1250
782	4492	1245
783	4499	1239
784	4504	1233
785	4510	1227
786	4515	1222
787	4520	1216
788	4524	1210
789	4529	1204
790	4534	1198
791	4539	1192
792	4545	1186
793	4549	1180
794	4555	1174
795	4559	1168
796	4565	1162
797	4569	1156
798	4574	1150
799	4580	1145
800	4585	1139
801	4591	1133
802	4596	1127
803	4602	1121
804	4606	1115
805	4612	1110
806	4617	1104
807	4623	1098
808	4628	1092
809	4634	1087
810	4639	1081
811	4644	1075
812	4649	1069
813	4654	1063
814	4660	1057
815	4665	1052
816	4670	1046
817	4675	1040
818	4680	1034
819	4685	1028
820	4690	1022
821	4695	1016
822	4701	1011
823	4706	1005
824	4711	999
825	4716	993
826	4721	987
827	4726	981
828	4731	975
829	4736	970
830	4741	964
831	4746	958
832	4751	952
833	4756	946
834	4761	940
835	4766	935
836	4772	929
837	4776	923
838	4782	917
839	4788	912
840	4792	906
841	4797	900
842	4803	894
843	4808	888
844	4813	882
845	4818	877
846	4823	871
847	4829	865
848	4836	860
849	4841	854
850	4846	848
851	4852	842
852	4857	837
853	4862	831
854	4868	825
855	4874	819
856	4879	814
857	4884	808
858	4889	802
859	4894	796
860	4900	791
861	4905	785
862	4911	779
863	4915	773
864	4920	767
865	4926	762
866	4932	756
867	4938	751
868	4943	745
869	4949	739
870	4954	733
871	4960	728
872	4965	722
873	4970	716
874	4975	710
875	4981	705
876	4986	699
877	4991	693
878	4995	687
879	5001	681
880	5006	676
881	5012	670
882	5017	664
883	5022	659
884	5027	653
885	5032	647
886	5037	641
887	5042	635
888	5047	630
889	5053	624
890	5056	618
891	5061	612
892	5066	607
893	5071	601
894	5076	595
895	5082	589
896	5087	584
897	5092	578
898	5096	572
899	5101	566
900	5107	561
901	5112	555
902	5117	549
903	5122	543
904	5127	538
905	5132	532
906	5138	526
907	5143	521
908	5148	515
909	5153	509
910	5159	504
911	5164	498
912	5170	492
913	5175	486
914	5180	481
915	5185	475
916	5191	469
917	5196	464
918	5202	458
919	5208	452
920	5213	447
921	5218	441
922	5223	435
923	5227	430
924	5233	424
925	5237	418
926	5243	412
927	5248	407
928	5253	401
929	5258	395
930	5263	390
931	5268	384
932	5274	378
933	5279	373
934	5284	367
935	5289	361
936	5293	355
937	5298	350
938	5303	344
939	5308	338
940	5313	333
941	5318	327
942	5323	321
943	5329	316
944	5334	310
945	5340	304
946	5345	299
947	5350	293
948	5355	287
949	5361	282
950	5365	276
951	5371	270
952	5376	265
953	5381	259
954	5386	253
955	5391	248
956	5396	242
957	5401	236
958	5407	231
959	5412	225
960	5417	219
961	5422	214
962	5427	208
963	5433	202
964	5438	197
965	5443	191
966	5449	185
967	5454	180
968	5460	174
969	5465	169
970	5470	163
971	5475	157
972	5480	152
973	5486	146
974	5490	140
975	5495	135
976	5501	129
977	5507	123
978	5510	118
979	5516	112
980	5521	106
981	5526	101
982	5531	95
983	5536	90
984	5541	84
985	5546	78
986	5552	73
987	5558	67
988	5563	61
989	5569	56
990	5574	50
991	5580	45
992	5584	39
993	5590	33
994	5595	28
995	5600	22
996	5606	16
997	5611	11
998	5617	5
999	5621	0
